"User","Score.1","Score.2","Score.17","Score.18","Score.25","Score.31","Score.32","Score.34","Score.36","Score.39","Score.41","Score.43","Score.44","Score.47","Score.50","Score.52","Score.55","Score.57","Score.58","Score.62","Score.95","Score.104","Score.110","Score.111","Score.112","Score.117","Score.141","Score.149","Score.150","Score.151","Score.152","Score.154","Score.157","Score.160","Score.162","Score.165","Score.169","Score.170","Score.172","Score.173","Score.176","Score.181","Score.185","Score.186","Score.188","Score.203","Score.204","Score.206","Score.216"
1,4,4,5,2,5,2,4,5,3,5,4,4,1,3,4,3,5,4,3,2,2,1,4,5,2,2,3,1,5,4,2,3,1,1,6,2,1,1,1,2,4,1,4,2,1,3,1,4,1
23,5,0,1,0,5,0,5,5,6,5,0,0,1,0,0,5,0,0,5,5,3,0,3,0,0,0,5,0,6,0,0,5,0,0,6,0,0,0,0,0,0,0,4,0,0,6,0,0,0
27,6,5,6,2,5,0,5,5,6,5,0,0,0,6,0,0,3,0,4,0,6,1,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,1
71,0,5,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,0,0,6,0,6,0,0,0,0,3,0,0,2,0,3,0,0,0,0,4,0,6,0,0,0
119,5,0,0,5,0,5,6,5,6,0,5,5,0,5,6,0,0,5,0,0,4,5,6,0,0,4,4,0,5,5,3,0,0,3,5,5,0,0,0,0,6,0,0,0,0,4,4,2,3
160,0,0,5,0,0,3,5,6,6,5,0,0,0,0,0,5,0,5,0,5,0,0,3,6,0,0,0,0,5,3,0,0,0,0,0,0,0,3,0,2,0,0,4,3,0,5,0,0,0
162,0,0,5,0,6,1,5,5,6,3,1,3,0,3,4,0,3,5,4,2,3,0,0,5,0,1,2,1,2,3,0,0,1,0,1,2,0,1,0,0,1,0,2,0,0,0,0,1,0
245,0,0,0,5,4,0,6,5,4,5,0,0,5,0,0,0,0,0,0,0,6,5,5,0,5,0,4,0,5,0,0,0,4,0,0,5,0,5,0,4,0,0,0,4,0,0,0,0,5
251,6,0,5,0,5,0,5,0,5,5,0,0,0,5,6,0,0,0,0,0,0,1,0,6,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0
254,6,4,0,0,6,1,5,0,5,0,0,0,3,5,0,0,0,0,0,0,4,0,6,6,5,0,0,0,4,4,5,0,0,2,5,4,0,0,1,1,5,1,0,0,0,0,0,0,1
286,0,0,0,0,0,0,6,5,5,0,0,0,0,5,5,0,0,0,0,0,0,5,6,0,0,0,5,0,0,0,0,0,0,0,0,5,0,4,5,1,0,0,0,0,0,3,3,0,4
305,6,4,0,0,3,4,0,4,4,0,3,0,0,0,0,0,0,2,0,5,0,4,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,4,0,1
332,4,0,6,0,4,0,4,5,0,0,0,0,1,1,0,0,0,3,0,6,5,0,6,0,0,0,4,0,0,5,0,0,0,0,1,3,0,0,4,0,0,0,2,0,0,3,1,0,0
390,4,1,0,0,0,0,0,0,0,4,0,0,1,0,5,4,0,0,5,0,0,0,2,0,1,0,0,0,5,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
489,1,4,0,0,0,0,4,0,5,3,0,0,3,6,5,0,0,0,3,3,5,4,4,4,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,4,0
502,5,0,0,5,0,0,5,0,5,6,4,0,2,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,0,0,0,4,0,0,6,5,0,0,0,0,5,3,0,4,4,0,0,0,0
546,0,4,0,0,0,0,4,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,4,4,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
599,5,1,6,1,3,0,6,6,0,0,0,0,1,1,6,6,5,4,0,0,1,0,4,5,0,0,1,0,5,0,0,4,0,1,0,4,0,0,1,1,0,1,4,0,0,0,0,0,0
622,5,0,0,0,5,0,5,3,0,5,0,0,4,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,2,4,2,4,0,0,5,0,0,0,0,0
661,6,2,1,5,0,1,6,6,6,6,0,0,0,6,6,6,0,0,6,5,5,0,0,6,0,5,0,0,0,5,0,0,6,0,6,5,0,1,2,2,0,0,4,0,5,1,4,1,6
686,4,4,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,4,0,0,0,0,5,4,0,0,0,4,3,3,2,0,3,3,0,0,0,0,0,0,4,0,0
749,0,6,4,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,6,5,0,4,0,3,0,4,0,0,3,0,0,4,5,0,0,4,0,5,5,0,5,5,4,0,3,5,0,0
775,0,4,0,0,5,0,4,5,5,5,0,0,0,5,5,4,0,0,0,0,6,4,0,0,3,0,0,0,5,0,0,3,0,0,0,5,0,0,4,0,0,0,4,4,0,0,0,0,3
791,0,6,0,0,1,5,5,6,0,0,0,0,4,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,0,0,3,4,5,0,0,4,0,3
833,6,0,6,0,0,0,5,5,6,5,0,0,0,0,6,1,0,0,5,0,0,0,5,6,0,6,6,4,4,5,0,5,0,0,0,5,1,0,0,2,2,0,4,4,0,0,0,0,0
854,0,0,6,0,1,0,4,0,6,5,0,4,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,6,5,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0
875,6,0,5,2,5,0,5,0,6,0,5,0,0,0,6,5,5,0,6,5,5,3,5,5,0,5,6,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
979,5,3,0,0,0,5,0,5,6,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,6,0,4,5,0,0,0,4,3,5,0,4,4,0,0,0,0,0,0,0,0,0,0
1037,0,5,0,0,0,0,0,5,0,5,0,0,5,0,6,0,0,0,0,0,4,0,6,0,0,0,5,0,0,4,0,0,0,1,0,5,0,0,0,4,0,4,4,5,0,4,0,0,0
1069,6,0,0,0,0,0,0,0,0,5,0,0,1,5,0,4,0,0,0,0,4,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,1,3,3,4,0,0,4,4,4,5,1,0,2
1083,6,0,5,0,5,0,5,0,6,0,0,4,2,6,6,0,0,0,0,0,0,0,6,6,0,0,6,0,5,5,0,6,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1154,0,0,0,0,6,2,5,5,0,4,0,0,4,6,6,6,0,6,0,0,0,3,6,6,4,0,0,3,5,0,0,0,0,2,0,5,0,0,2,3,0,0,1,0,0,0,4,5,4
1159,0,5,0,0,0,5,5,0,0,3,0,0,0,0,4,0,0,0,0,0,5,0,6,0,0,0,4,0,5,4,0,0,0,4,0,0,0,0,4,3,0,0,0,4,0,2,4,0,0
